ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
TOJLSIZ,4,TILJSO;TLJSZO,Z;I,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gzhilR4A8i0wwRpR4D8xwRpF8g0wwglE8JeAgWGAv?untCM+AAA;v115@9gRpBtilR4A8Rpwwi0R4D8xwglg0F8wwBtE8JeAgWG?AUtHgCsXBAA
JLITOZS,2,TILJSO,Z,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA
OTJLSIZ,4,TILJSO;TLJSZO,Z;I,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gzhilR4A8i0wwRpR4D8xwRpF8g0wwglE8JeAgWGAv?untCM+AAA;v115@9gRpBtilR4A8Rpwwi0R4D8xwglg0F8wwBtE8JeAgWG?AUtHgCsXBAA
OTJLSZI,2,TILJSO;TLJSZO,Z;I,v115@9gzhilR4A8i0wwRpR4D8xwRpF8g0wwglE8JeAgWGAv?untCM+AAA;v115@9gRpBtilR4A8Rpwwi0R4D8xwglg0F8wwBtE8JeAgWG?AUtHgCsXBAA
TOJLSZI,2,TILJSO;TLJSZO,Z;I,v115@9gzhilR4A8i0wwRpR4D8xwRpF8g0wwglE8JeAgWGAv?untCM+AAA;v115@9gRpBtilR4A8Rpwwi0R4D8xwglg0F8wwBtE8JeAgWG?AUtHgCsXBAA
TJOLSZI,2,TILJSO;TLJSZO,Z;I,v115@9gzhilR4A8i0wwRpR4D8xwRpF8g0wwglE8JeAgWGAv?untCM+AAA;v115@9gRpBtilR4A8Rpwwi0R4D8xwglg0F8wwBtE8JeAgWG?AUtHgCsXBAA
TJLOSZI,1,TLJSZO,I,v115@9gRpBtilR4A8Rpwwi0R4D8xwglg0F8wwBtE8JeAgWG?AUtHgCsXBAA
ZSJOILT,2,TILSZO;TIJSZO,J;L,v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
TJLSOZI,1,TLJSZO,I,v115@9gRpBtilR4A8Rpwwi0R4D8xwglg0F8wwBtE8JeAgWG?AUtHgCsXBAA
JLITZOS,2,TILJSO,Z,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA
ZSOJILT,2,TILSZO;TIJSZO,J;L,v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
TJLSZOI,0,,,
JLITZSO,2,TILJSO,Z,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA
ZOSJILT,2,TILSZO;TIJSZO,J;L,v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
